conid,ticker,candidate_date,close_asof,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap_anchor,relative_diff_pct,boundary_distance_pct,market_cap_bucket,market_cap_reason_code
584127832,COHR,2026-04-17,345.02,187481852.0,1.0,2026-02-04,72.0,64684988577.03999,39558670772.0,63.52,29.37,UNBUCKETED,MARKET_CAP_SUSPECT
740948854,ANET,2026-04-17,164.23,1256537906.0,1.0,2026-02-17,59.0,206361220302.37997,179157174637.0,15.18,3.18,Mega,MARKET_CAP_OK
4391,AMD,2026-04-20,274.95,1630410843.0,1.0,2026-02-04,75.0,448281461282.85,326391946660.0,37.34,124.14,UNBUCKETED,MARKET_CAP_SUSPECT
270639,INTC,2026-04-20,65.7,4995000000.0,1.0,2026-01-23,87.0,328171500000.0,225124650000.0,45.77,64.09,UNBUCKETED,MARKET_CAP_SUSPECT
8677881,ON,2026-04-20,85.56,394020530.0,1.0,2026-02-09,70.0,33712396546.8,25650736503.0,31.43,32.58,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-20,1490.86,49118000.0,1.0,2026-02-27,52.0,73228061480.0,56129103320.0,30.46,46.46,UNBUCKETED,MARKET_CAP_SUSPECT
313130367,AVGO,2026-04-20,399.63,4734668184.0,1.0,2026-03-11,40.0,1892115446371.92,1617220611609.0,17.0,846.06,Mega,MARKET_CAP_OK
504546674,HOOD,2026-04-20,91.28,900308390.0,1.0,2026-02-20,59.0,82180149839.2,68522471563.0,19.93,58.91,Large-high,MARKET_CAP_OK
584127832,COHR,2026-04-20,347.51,187481852.0,1.0,2026-02-04,75.0,65151818388.52,39558670772.0,64.7,30.3,UNBUCKETED,MARKET_CAP_SUSPECT
740948854,ANET,2026-04-20,166.85,1256537906.0,1.0,2026-02-17,62.0,209653349616.1,179157174637.0,17.02,4.83,Mega,MARKET_CAP_OK
4391,AMD,2026-04-21,284.49,1630410843.0,1.0,2026-02-04,76.0,463835580725.07,326391946660.0,42.11,131.92,UNBUCKETED,MARKET_CAP_SUSPECT
270639,INTC,2026-04-21,66.26,4995000000.0,1.0,2026-01-23,88.0,330968700000.0,225124650000.0,47.02,65.48,UNBUCKETED,MARKET_CAP_SUSPECT
8677881,ON,2026-04-21,86.91,394020530.0,1.0,2026-02-09,71.0,34244324262.3,25650736503.0,33.5,31.51,UNBUCKETED,MARKET_CAP_SUSPECT
