conid,ticker,candidate_date,close_candidate,close_datekey,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap,relative_diff_pct,ratio_candidate,ratio_sharefactor_mult,ratio_sharefactor_div,price_ratio,anchor_adjusted_ratio,cap01_reason
4391,AMD,2026-05-06,421.39,421.39,1630600639.0,1.0,2026-05-06,0,687118803268.21,687118803268.0,0.0,1.0000000000003055,1.0000000000003055,1.0000000000003055,1.0,1.0000000000003055,OK
9939,MU,2026-05-06,666.59,444.27,1127734051.0,1.0,2026-03-19,48,751736241056.0901,501018406838.0,50.04,1.5004164134415874,1.5004164134415874,1.5004164134415874,1.5004164134422762,0.9999999999995409,SUSPECT
270639,INTC,2026-05-06,113.01,82.54,5026000000.0,1.0,2026-04-24,12,567988260000.0,414846040000.0,36.92,1.3691543494063485,1.3691543494063485,1.3691543494063485,1.3691543494063485,1.0,SUSPECT
273544,QCOM,2026-05-06,192.57,156.0,1054000000.0,1.0,2026-04-29,7,202968780000.0,164424000000.0,23.44,1.2344230769230768,1.2344230769230768,1.2344230769230768,1.2344230769230768,1.0,OK
77791077,NXPI,2026-05-06,303.55,230.39,252471079.0,1.0,2026-04-28,8,76637596030.45,58166811891.0,31.75,1.317548504705102,1.317548504705102,1.317548504705102,1.317548504709406,0.9999999999967334,SUSPECT
491932113,STX,2026-05-06,786.42,643.3,224228992.0,1.0,2026-04-29,7,176338163888.63998,144246510554.0,22.25,1.2224778485898014,1.2224778485898014,1.2224778485898014,1.2224778485931913,0.999999999997227,OK
4391,AMD,2026-05-07,408.46,421.39,1630600639.0,1.0,2026-05-06,1,666035137005.94,687118803268.0,3.07,0.9693158356869522,0.9693158356869522,0.9693158356869522,0.969315835686656,1.0000000000003055,OK
9939,MU,2026-05-07,646.63,444.27,1127734051.0,1.0,2026-03-19,49,729226669398.13,501018406838.0,45.55,1.4554887793452251,1.4554887793452251,1.4554887793452251,1.4554887793458933,0.9999999999995409,SUSPECT
270639,INTC,2026-05-07,109.62,82.54,5026000000.0,1.0,2026-04-24,13,550950120000.0,414846040000.0,32.81,1.3280833535255634,1.3280833535255634,1.3280833535255634,1.3280833535255634,1.0,SUSPECT
273544,QCOM,2026-05-07,202.55,156.0,1054000000.0,1.0,2026-04-29,8,213487700000.0,164424000000.0,29.84,1.298397435897436,1.298397435897436,1.298397435897436,1.298397435897436,1.0,SUSPECT
1035459,DVA,2026-05-07,196.26,157.04,64200000.0,1.0,2026-05-05,2,12599892000.0,10081968000.0,24.97,1.2497452878247581,1.2497452878247581,1.2497452878247581,1.2497452878247581,1.0,OK
13878278,CNC,2026-05-07,54.98,49.57,493797000.0,1.0,2026-04-28,9,27148959060.0,24477517290.0,10.91,1.109138591890256,1.109138591890256,1.109138591890256,1.109138591890256,1.0,OK
70236214,FTNT,2026-05-07,107.97,77.35,739923583.0,1.0,2026-02-25,71,79889549256.51,57233089145.0,39.59,1.3958629605700623,1.3958629605700623,1.3958629605700623,1.395862960568843,1.0000000000008735,SUSPECT
383858515,DDOG,2026-05-07,188.73,188.73,355960189.0,1.0,2026-05-07,0,67180366469.96999,67180366470.0,0.0,0.9999999999995534,0.9999999999995534,0.9999999999995534,1.0,0.9999999999995534,OK
491932113,STX,2026-05-07,766.44,643.3,224228992.0,1.0,2026-04-29,8,171858068628.48,144246510554.0,19.14,1.1914192445171377,1.1914192445171377,1.1914192445171377,1.1914192445204417,0.9999999999972268,OK
731466419,SMCI,2026-05-07,33.62,34.38,598989428.0,1.0,2026-02-06,90,20138024569.359997,20593256535.0,2.21,0.977894124473888,0.977894124473888,0.977894124473888,0.977894124490983,0.9999999999825185,OK
4391,AMD,2026-05-08,455.19,421.39,1630600639.0,1.0,2026-05-06,2,742233104866.41,687118803268.0,8.02,1.0802107311519948,1.0802107311519948,1.0802107311519948,1.0802107311516647,1.0000000000003058,OK
9939,MU,2026-05-08,746.81,444.27,1127734051.0,1.0,2026-03-19,50,842203066627.3099,501018406838.0,68.1,1.6809822855463055,1.6809822855463055,1.6809822855463055,1.680982285547077,0.999999999999541,SUSPECT
270639,INTC,2026-05-08,124.92,82.54,5026000000.0,1.0,2026-04-24,14,627847920000.0,414846040000.0,51.34,1.5134480251999032,1.5134480251999032,1.5134480251999032,1.513448025199903,1.0000000000000002,SUSPECT
273544,QCOM,2026-05-08,219.09,156.0,1054000000.0,1.0,2026-04-29,9,230920860000.0,164424000000.0,40.44,1.404423076923077,1.404423076923077,1.404423076923077,1.404423076923077,1.0,SUSPECT
1035459,DVA,2026-05-08,198.65,157.04,64200000.0,1.0,2026-05-05,3,12753330000.0,10081968000.0,26.5,1.2649643402954662,1.2649643402954662,1.2649643402954662,1.2649643402954662,1.0,SUSPECT
6220356,AKAM,2026-05-08,147.71,147.71,145385451.0,1.0,2026-05-08,0,21474884967.210003,21474884967.0,0.0,1.000000000009779,1.000000000009779,1.000000000009779,1.0,1.000000000009779,OK
13878278,CNC,2026-05-08,55.96,49.57,493797000.0,1.0,2026-04-28,10,27632880120.0,24477517290.0,12.89,1.1289086140810973,1.1289086140810973,1.1289086140810973,1.1289086140810976,0.9999999999999998,OK
70236214,FTNT,2026-05-08,114.07,114.07,732648391.0,1.0,2026-05-08,0,83573201961.37,83573201961.0,0.0,1.0000000000044271,1.0000000000044271,1.0000000000044271,1.0,1.0000000000044271,OK
383858515,DDOG,2026-05-08,200.16,188.73,355960189.0,1.0,2026-05-07,1,71248991430.24,67180366470.0,6.06,1.0605627086309046,1.0605627086309046,1.0605627086309046,1.0605627086313782,0.9999999999995535,OK
491932113,STX,2026-05-08,782.64,643.3,224228992.0,1.0,2026-04-29,9,175490578298.88,144246510554.0,21.66,1.2166018964679461,1.2166018964679461,1.2166018964679461,1.2166018964713199,0.9999999999972269,OK
