conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,mle_rank,irc_rank,source_signal_label
7655,2026-02-12,2026-02-12,0,,MATCHED_STRONG,False,OK,,15629000000.0,1596000000.0,1.87,1424000000.0,0.141,0.36,0.102,8434000000.0,1.581,30976000000.0,11807000000.0,GLW,3,4,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-12,2025-11-04,100,,MATCHED_STRONG,False,OK,,4352444000.0,301243000.0,5.32,424407000.0,0.118,0.395,0.069,1594110000.0,1.115,5598102000.0,2643748000.0,GNRC,4,3,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-12,2025-10-22,113,,MATCHED_STRONG,False,OK,,9696300000.0,1034200000.0,2.71,1365300000.0,0.353,0.357,0.107,3149900000.0,2.083,10816300000.0,3508700000.0,VRT,10,1,MLE_TOP10xIRC_TOP10_20d
713434903,2026-02-12,2025-11-07,97,,MATCHED_NAME_VERIFIED,False,OK,,31138000000.0,748000000.0,1.48,861000000.0,0.042,0.196,0.024,14111000000.0,1.471,45569000000.0,18433000000.0,SW,9,6,MLE_TOP10xIRC_TOP10_20d
7655,2026-02-13,2026-02-12,1,,MATCHED_STRONG,False,OK,,15629000000.0,1596000000.0,1.87,1424000000.0,0.141,0.36,0.102,8434000000.0,1.581,30976000000.0,11807000000.0,GLW,5,4,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-13,2025-11-04,101,,MATCHED_STRONG,False,OK,,4352444000.0,301243000.0,5.32,424407000.0,0.118,0.395,0.069,1594110000.0,1.115,5598102000.0,2643748000.0,GNRC,3,5,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-13,2026-02-13,0,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,6,1,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-13,2025-11-05,100,,MATCHED_STRONG,False,OK,,772395000.0,476390000.0,6.92,82713000.0,0.381,0.857,0.617,16509000.0,0.115,1524914000.0,1367964000.0,TPL,7,7,MLE_TOP10xIRC_TOP10_20d
713434903,2026-02-13,2025-11-07,98,,MATCHED_NAME_VERIFIED,False,OK,,31138000000.0,748000000.0,1.48,861000000.0,0.042,0.196,0.024,14111000000.0,1.471,45569000000.0,18433000000.0,SW,8,6,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-17,2025-11-04,105,,MATCHED_STRONG,False,OK,,4352444000.0,301243000.0,5.32,424407000.0,0.118,0.395,0.069,1594110000.0,1.115,5598102000.0,2643748000.0,GNRC,2,6,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-17,2026-02-13,4,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,4,1,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-17,2025-11-05,104,,MATCHED_STRONG,False,OK,,772395000.0,476390000.0,6.92,82713000.0,0.381,0.857,0.617,16509000.0,0.115,1524914000.0,1367964000.0,TPL,5,8,MLE_TOP10xIRC_TOP10_20d
713434903,2026-02-17,2025-11-07,102,,MATCHED_NAME_VERIFIED,False,OK,,31138000000.0,748000000.0,1.48,861000000.0,0.042,0.196,0.024,14111000000.0,1.471,45569000000.0,18433000000.0,SW,9,2,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-18,2026-02-18,0,,MATCHED_STRONG,False,OK,,4209147000.0,159554000.0,2.73,271206000.0,0.062,0.383,0.038,1498263000.0,1.115,5573679000.0,2632422000.0,GNRC,2,9,MLE_TOP10xIRC_TOP10_20d
