date,ticker,industry,breach_day,irc_rank_at_breach,irc_delta_5d,irc_state,reentry_50,post_breach_ret
2025-10-02,WDC,Computers,7,9,3.0,STRONG,True,0.1621235066464748
2025-10-03,CNC,Healthcare-Services,5,8,-2.0,STRONG,False,-0.01090604026845643
2025-10-03,INTC,Semiconductors,5,7,-1.0,STRONG,True,0.09953258179818536
2025-10-03,MU,Semiconductors,13,12,8.0,WEAKENING,True,0.1274751851665239
2025-10-03,TER,Semiconductors,2,3,0.0,STRONG,True,0.2969887255601542
2025-10-03,WDC,Computers,6,9,3.0,STRONG,True,0.2637556789500253
2025-10-06,AMD,Semiconductors,12,12,8.0,WEAKENING,True,0.12778525822004072
2025-10-06,INTC,Semiconductors,4,7,-1.0,STRONG,True,0.08605993951058566
2025-10-06,MU,Semiconductors,12,12,8.0,WEAKENING,True,0.18254648057640943
2025-10-06,SMCI,Computers,7,13,10.0,WEAKENING,False,-0.05913978494623651
2025-10-07,AMD,Semiconductors,11,12,8.0,WEAKENING,True,0.0860878252182602
2025-10-07,CNC,Healthcare-Services,3,8,-2.0,STRONG,False,0.00978747203579422
2025-10-07,INTC,Semiconductors,3,7,-1.0,STRONG,True,0.018146824305746545
2025-10-07,NEE,Electric,9,4,1.0,STRONG,False,-0.03633360858794388
2025-10-07,SMCI,Computers,6,13,10.0,WEAKENING,False,-0.12124582869855394
2025-10-08,AMD,Semiconductors,10,12,8.0,WEAKENING,True,0.11336489597359156
2025-10-08,DELL,Computers,5,13,10.0,WEAKENING,True,-0.008392973324658382
2025-10-08,INTC,Semiconductors,2,7,-1.0,STRONG,True,0.05526532856750088
2025-10-08,MU,Semiconductors,10,12,8.0,WEAKENING,True,0.1966544062074873
2025-10-08,SMCI,Computers,5,13,10.0,WEAKENING,False,-0.2208008898776418
2025-10-09,AMD,Semiconductors,9,12,8.0,WEAKENING,True,0.03244581505451061
2025-10-09,LLY,Pharmaceuticals,4,9,-3.0,STRONG,True,0.13413262034673412
2025-10-09,MU,Semiconductors,9,12,8.0,WEAKENING,True,0.20083639844812828
2025-10-09,SMCI,Computers,4,13,10.0,WEAKENING,False,-0.2521319985168705
2025-10-09,VRT,Machinery-Constr&Mining,9,1,0.0,STRONG,True,0.06661227344250831
2025-10-10,AMD,Semiconductors,8,12,8.0,WEAKENING,True,0.01437692742040575
2025-10-10,DELL,Computers,3,13,10.0,WEAKENING,True,-0.045543266102797686
2025-10-10,LLY,Pharmaceuticals,3,9,-3.0,STRONG,True,0.1183202874529683
2025-10-10,MU,Semiconductors,8,12,8.0,WEAKENING,True,0.19877059505214878
2025-10-10,SMCI,Computers,3,13,10.0,WEAKENING,False,-0.2628846866889136
2025-10-10,VRT,Machinery-Constr&Mining,8,1,0.0,STRONG,True,0.04784661110787347
2025-10-13,AMD,Semiconductors,7,12,8.0,WEAKENING,True,0.05972288580984242
2025-10-13,CRL,Healthcare-Services,2,5,1.0,STRONG,True,-0.010250702905342135
2025-10-13,DELL,Computers,2,13,10.0,WEAKENING,True,-0.0716330513988288
2025-10-13,MU,Semiconductors,7,12,8.0,WEAKENING,True,0.27626341512571173
2025-10-13,SMCI,Computers,2,13,10.0,WEAKENING,False,-0.25491286614757136
2025-10-13,VRT,Machinery-Constr&Mining,7,1,0.0,STRONG,True,0.09470248849000518
2025-10-14,AMD,Semiconductors,6,12,8.0,WEAKENING,True,0.031663988185727465
2025-10-14,CEG,Electric,4,4,1.0,STRONG,False,-0.04954054054054047
2025-10-14,MU,Semiconductors,6,12,8.0,WEAKENING,True,0.21484355318184112
2025-10-14,NEE,Electric,4,4,1.0,STRONG,False,0.011678659903267663
2025-10-14,SMCI,Computers,1,13,10.0,WEAKENING,False,-0.28031145717463846
